,Company,Code,Date
+,Divi's,DIVI.NS,25-Sep-2020
-,Indus Towers,INUS.NS,25-Sep-2020
+,SBI Life Ins,SBIL.NS,25-Sep-2020
-,Zee Entrtainment,ZEE.NS,25-Sep-2020
+,HDFC Life,HDFL.NS,31-Jul-2020
-,Vedanta,VDAN.NS,31-Jul-2020
+,Shree Cement,SHCM.NS,19-Mar-2020
-,Yes Bank,YESB.NS,19-Mar-2020
-,Indiabulls House,INBF.NS,27-Sep-2019
+,Nestle India,NEST.NS,27-Sep-2019
+,Britannia Inds,BRIT.NS,29-Mar-2019
-,HPCL,HPCL.NS,29-Mar-2019
+,JSW Steel,JSTL.NS,28-Sep-2018
-,Lupin,LUPN.NS,28-Sep-2018
-,Ambuja Cements,ABUJ.NS,02-Apr-2018
-,Aurobindo Pharm,ARBN.NS,02-Apr-2018
+,Bajaj Finsrv,BJFS.NS,02-Apr-2018
-,Bosch,BOSH.NS,02-Apr-2018
+,Grasim Inds,GRAS.NS,02-Apr-2018
+,Titan Company,TITN.NS,02-Apr-2018
-,ACC,ACC.NS,29-Sep-2017
+,Bajaj Finance,BJFN.NS,29-Sep-2017
-,Bank of Baroda,BOB.NS,29-Sep-2017
+,HPCL,HPCL.NS,29-Sep-2017
-,Tata Motors,TAMdv.NS,29-Sep-2017
-,Tata Power,TTPW.NS,29-Sep-2017
+,UPL,UPLL.NS,29-Sep-2017
-,Grasim Inds,GRAS.NS,26-May-2017
+,Vedanta,VDAN.NS,26-May-2017
-,BHEL,BHEL.NS,31-Mar-2017
+,Indiabulls House,INBF.NS,31-Mar-2017
+,Indian Oil Corpn,IOC.NS,31-Mar-2017
-,Vodafone Idea,VODA.NS,31-Mar-2017
+,Aurobindo Pharm,ARBN.NS,01-Apr-2016
-,Cairn India,CAIL.NS^F18 (expired),01-Apr-2016
+,Eicher Motors,EICH.NS,01-Apr-2016
+,Indus Towers,INUS.NS,01-Apr-2016
-,Punjab Natl Bank,PNBK.NS,01-Apr-2016
+,Tata Motors,TAMdv.NS,01-Apr-2016
-,Vedanta,VDAN.NS,01-Apr-2016
+,APSEZ,APSE.NS,28-Sep-2015
-,NMDC,NMDC.NS,28-Sep-2015
+,Bosch,BOSH.NS,01-Jun-2015
-,IDFC,IDFC.NS,01-Jun-2015
-,DLF,DLF.NS,27-Mar-2015
-,Jindal Steel,JNSP.NS,27-Mar-2015
+,Vodafone Idea,VODA.NS,27-Mar-2015
+,Yes Bank,YESB.NS,27-Mar-2015
-,United Spirit,UNSP.NS,19-Sep-2014
+,Zee Entrtainment,ZEE.NS,19-Sep-2014
-,Jaiprakash Assoc,JAIA.NS,28-Mar-2014
-,Ranbaxy Lab,RANB.NS^D18 (expired),28-Mar-2014
+,Tech Mahindra,TEML.NS,28-Mar-2014
+,United Spirit,UNSP.NS,28-Mar-2014
-,Reliance Infrast,RLIN.NS,27-Sep-2013
+,Wipro Ltd,WIPR.NS,27-Sep-2013
+,Indusind Bank,INBK.NS,01-Apr-2013
+,NMDC,NMDC.NS,01-Apr-2013
-,Siemens IN,SIEM.NS,01-Apr-2013
-,Wipro Ltd,WIPR.NS,01-Apr-2013
+,Lupin,LUPN.NS,28-Sep-2012
-,SAIL,SAIL.NS,28-Sep-2012
-,Sterlite Ind,STRL.NS^L13 (expired),28-Sep-2012
+,UltraTech Cement,ULTC.NS,28-Sep-2012
+,Asian Paints,ASPN.NS,27-Apr-2012
+,Bank of Baroda,BOB.NS,27-Apr-2012
-,RCOM,RLCM.NS,27-Apr-2012
-,Reliance Power,RPOL.NS,27-Apr-2012
+,Coal India,COAL.NS,10-Oct-2011
-,Reliance Capital,RLCP.NS,10-Oct-2011
+,Grasim Inds,GRAS.NS,25-Mar-2011
-,Suzlon Energy,SUZL.NS,25-Mar-2011
-,ABB India,ABB.NS,01-Oct-2010
+,Bajaj Auto,BAJA.NS,01-Oct-2010
+,Dr.Reddys,REDY.NS,01-Oct-2010
-,Unitech,UNTE.NS,01-Oct-2010
+,Vedanta,VDAN.NS,01-Oct-2010
-,Vodafone Idea,VODA.NS,01-Oct-2010
-,Grasim Inds,GRAS.NS,26-May-2010
+,Kotak Mah Bk,KTKM.NS,08-Apr-2010
+,IDFC,IDFC.NS,22-Oct-2009
+,Jaiprakash Assoc,JAIA.NS,22-Oct-2009
-,Nat Aluminium,NALU.NS,22-Oct-2009
-,Tata Communi,TATA.NS,22-Oct-2009
+,Jindal Steel,JNSP.NS,17-Jun-2009
-,Reliance Petro,RPET.NS^F17 (expired),17-Jun-2009
+,Axis Bank,AXBK.NS,27-Mar-2009
-,Zee Entrtainment,ZEE.NS,27-Mar-2009
+,Reliance Capital,RLCP.NS,12-Jan-2009
-,Satyam Computer,SATY.NS^J18 (expired),12-Jan-2009
-,Dr.Reddys,REDY.NS,10-Sep-2008
+,Reliance Power,RPOL.NS,10-Sep-2008
-,BHIL,BJAT.NS,14-Mar-2008
+,DLF,DLF.NS,14-Mar-2008
-,GSK Pharms,GLAX.NS,14-Mar-2008
+,Power Grid Corp,PGRD.NS,14-Mar-2008
+,Cairn India,CAIL.NS^F18 (expired),12-Dec-2007
-,HPCL,HPCL.NS,12-Dec-2007
-,MTNL,MTNL.NS,12-Dec-2007
+,Vodafone Idea,VODA.NS,12-Dec-2007
-,IPCL,IPCL.NS^D08 (expired),05-Oct-2007
+,Unitech,UNTE.NS,05-Oct-2007
-,Dabur India,DABU.NS,24-Sep-2007
+,NTPC,NTPC.NS,24-Sep-2007
-,Jet Airways,JET.NS,04-Apr-2007
-,Orient Bank Comm,ORBC.NS^C20 (expired),04-Apr-2007
+,Reliance Petro,RPET.NS^F17 (expired),04-Apr-2007
+,Sterlite Ind,STRL.NS^L13 (expired),04-Apr-2007
+,RCOM,RLCM.NS,01-Sep-2006
-,Tata Consumer,TACN.NS,01-Sep-2006
-,shipping corp,SCI.NS,27-Jun-2006
+,Siemens IN,SIEM.NS,27-Jun-2006
+,Suzlon Energy,SUZL.NS,27-Jun-2006
-,Tata Chemicals,TTCH.NS,27-Jun-2006
-,Colgate,COLG.NS,26-Sep-2005
+,Jet Airways,JET.NS,26-Sep-2005
-,Indian Hotel,IHTL.NS,25-Feb-2005
+,TCS,TCS.NS,25-Feb-2005
-,Britannia Inds,BRIT.NS,10-Dec-2004
+,L&T,LART.NS,10-Dec-2004
-,L&T,LART.NS,24-May-2004
+,Punjab Natl Bank,PNBK.NS,24-May-2004
+,ONGC,ONGC.NS,05-May-2004
-,Digital,DIGI.NS^D04 (expired),20-Apr-2004
+,Bharti Airtel,BRTI.NS,01-Mar-2004
-,GSK Pharms,GLAX.NS,01-Mar-2004
-,GSKCH,GLSM.NS^D20 (expired),01-Mar-2004
+,Maruti Suzuki In,MRTI.NS,01-Mar-2004
-,NIIT Ltd,NIIT.NS,01-Mar-2004
-,Nestle India,NEST.NS^I07 (expired),04-Aug-2003
+,SAIL,SAIL.NS,04-Aug-2003
-,Castrol India,CAST.NS,02-May-2003
+,GAIL India,GAIL.NS,02-May-2003
+,Nat Aluminium,NALU.NS,02-May-2003
-,Novartis India,NOIN.NS^I07 (expired),02-May-2003
-,Asian Paints,ASPN.NS,28-Oct-2002
+,BPCL,BPCL.NS,28-Oct-2002
+,HCL Techno,HCLT.NS,28-Oct-2002
-,P&G India,PROC.NS,28-Oct-2002
+,shipping corp,SCI.NS,10-Oct-2002
-,ICICI,ICIC.NS^I02 (expired),31-May-2002
+,Tata Communi,TATA.NS,31-May-2002
+,ICICI Bank,ICBK.NS,25-Jan-2002
-,Reckitt,RCKT.NS^A04 (expired),25-Jan-2002
-,HCL Infosystems,HCLI.NS,17-Jan-2002
-,Kochi Refin,KOCH.NS^D07 (expired),17-Jan-2002
+,Sun Pharm,SUN.NS,17-Jan-2002
+,Wipro Ltd,WIPR.NS,17-Jan-2002
-,Bank Of India,BOI.NS,04-Sep-2000
+,Digital,DIGI.NS^D04 (expired),04-Sep-2000
-,EIH,EIHO.NS,24-May-2000
+,HCL Infosystems,HCLI.NS,24-May-2000
-,IDBI Bank,IDBI.NS,24-May-2000
+,Zee Entrtainment,ZEE.NS,24-May-2000
+,Dabur India,DABU.NS,10-May-2000
-,TVS Motor,TVSS.NS^E00 (expired),10-May-2000
-,ABNL,ABRL.NS^F18 (expired),08-Sep-1999
+,Britannia Inds,BRIT.NS,08-Sep-1999
-,IFCI,IFCI.NS,08-Sep-1999
+,Satyam Computer,SATY.NS^J18 (expired),08-Sep-1999
-,Arvind,ARVN.NS,26-May-1999
+,Dr.Reddys,REDY.NS,26-May-1999
-,G E Shipping,GESC.NS,26-May-1999
+,Novartis India,NOIN.NS^I07 (expired),26-May-1999
+,Reckitt,RCKT.NS^A04 (expired),26-May-1999
-,Reliance Capital,RLCP.NS,26-May-1999
-,Andhra Valley,ADVA.NS^J05 (expired),07-Oct-1998
-,Ashok Leyland,ASOK.NS,07-Oct-1998
+,Bank Of India,BOI.NS,07-Oct-1998
-,BPCL,BPCL.NS,07-Oct-1998
+,Cipla,CIPL.NS,07-Oct-1998
+,GSKCH,GLSM.NS^D20 (expired),07-Oct-1998
+,Hero MotoCorp,HROM.NS,07-Oct-1998
-,Indo Gulf Corp,IGLF.NS^D07 (expired),07-Oct-1998
+,Infosys,INFY.NS,07-Oct-1998
-,MRPL,MRPL.NS,07-Oct-1998
+,NIIT Ltd,NIIT.NS,07-Oct-1998
+,P&G India,PROC.NS,07-Oct-1998
-,Pond's India Ltd,POND.NS^C99 (expired),07-Oct-1998
-,Thermax,THMX.NS,07-Oct-1998
-,Arcelormittal In,ESRG.NS^L07 (expired),24-Dec-1997
+,BPCL,BPCL.NS,24-Dec-1997
+,BHEL,BHEL.NS,14-May-1997
-,Dr.Reddys,REDY.NS,14-May-1997
+,HPCL,HPCL.NS,14-May-1997
-,SCICI,SCIC.NS^E97 (expired),14-May-1997
-,BROOKE BOND,BROK.NS^J97 (expired),07-May-1997
+,MTNL,MTNL.NS,07-May-1997
+,ABB India,ABB.NS,18-Sep-1996
-,Apollo Tyres,APLO.NS,18-Sep-1996
+,Asian Paints,ASPN.NS,18-Sep-1996
-,Chambal Fert,CHMB.NS,18-Sep-1996
-,Chennai Petro,CHPC.NS,18-Sep-1996
+,EIH,EIHO.NS,18-Sep-1996
+,GSK Pharms,GLAX.NS,18-Sep-1996
-,Hero MotoCorp,HROM.NS,18-Sep-1996
-,Indian Aluminium,IALM.NS^I04 (expired),18-Sep-1996
+,Mahindra,MAHM.NS,18-Sep-1996
+,Nestle India,NEST.NS^I07 (expired),18-Sep-1996
-,NFCL,NGFR.NS,18-Sep-1996
+,ABNL,ABRL.NS^F18 (expired),22-Apr-1996
+,ACC,ACC.NS,22-Apr-1996
+,Ambuja Cements,ABUJ.NS,22-Apr-1996
+,Andhra Valley,ADVA.NS^J05 (expired),22-Apr-1996
+,Apollo Tyres,APLO.NS,22-Apr-1996
+,Arcelormittal In,ESRG.NS^L07 (expired),22-Apr-1996
+,Arvind,ARVN.NS,22-Apr-1996
+,Ashok Leyland,ASOK.NS,22-Apr-1996
+,BHIL,BJAT.NS,22-Apr-1996
+,BROOKE BOND,BROK.NS^J97 (expired),22-Apr-1996
+,Castrol India,CAST.NS,22-Apr-1996
+,Chambal Fert,CHMB.NS,22-Apr-1996
+,Chennai Petro,CHPC.NS,22-Apr-1996
+,Colgate,COLG.NS,22-Apr-1996
+,Dr.Reddys,REDY.NS,22-Apr-1996
+,G E Shipping,GESC.NS,22-Apr-1996
+,Grasim Inds,GRAS.NS,22-Apr-1996
+,HDFC,HDFC.NS,22-Apr-1996
+,HDFC Bank,HDBK.NS,22-Apr-1996
+,Hero MotoCorp,HROM.NS,22-Apr-1996
+,Hind Unilever,HLL.NS,22-Apr-1996
+,Hindalco,HALC.NS,22-Apr-1996
+,ICICI,ICIC.NS^I02 (expired),22-Apr-1996
+,IDBI Bank,IDBI.NS,22-Apr-1996
+,IFCI,IFCI.NS,22-Apr-1996
+,Indian Aluminium,IALM.NS^I04 (expired),22-Apr-1996
+,Indian Hotel,IHTL.NS,22-Apr-1996
+,Indo Gulf Corp,IGLF.NS^D07 (expired),22-Apr-1996
+,IPCL,IPCL.NS^D08 (expired),22-Apr-1996
+,ITC,ITC.NS,22-Apr-1996
+,Kochi Refin,KOCH.NS^D07 (expired),22-Apr-1996
+,L&T,LART.NS,22-Apr-1996
+,MRPL,MRPL.NS,22-Apr-1996
+,NFCL,NGFR.NS,22-Apr-1996
+,Orient Bank Comm,ORBC.NS^C20 (expired),22-Apr-1996
+,Pond's India Ltd,POND.NS^C99 (expired),22-Apr-1996
+,Ranbaxy Lab,RANB.NS^D18 (expired),22-Apr-1996
+,Reliance,RELI.NS,22-Apr-1996
+,Reliance Capital,RLCP.NS,22-Apr-1996
+,Reliance Infrast,RLIN.NS,22-Apr-1996
+,SCICI,SCIC.NS^E97 (expired),22-Apr-1996
+,State Bank India,SBI.NS,22-Apr-1996
+,Tata Chemicals,TTCH.NS,22-Apr-1996
+,Tata Consumer,TACN.NS,22-Apr-1996
+,Tata Motors,TAMO.NS,22-Apr-1996
+,Tata Power,TTPW.NS,22-Apr-1996
+,Tata Steel,TISC.NS,22-Apr-1996
+,Thermax,THMX.NS,22-Apr-1996
+,TVS Motor,TVSS.NS^E00 (expired),22-Apr-1996
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
